球員,背號,PA,AVG,OBP,SLG,ISO,BABIP,BIP%,OPS+,RC,wOBA,BB%,BB/K,K%,PutAway%,隊伍
岳政華,92,504,0.242,0.322,0.329,0.088,0.29,70.7,88.5,45.2,0.298,9.3,0.547,17.1,34.4,中信兄弟
王威晨,9,299,0.297,0.36,0.416,0.119,0.32,81.1,124.0,40.2,0.344,8.4,0.962,8.7,19.0,中信兄弟
陳俊秀,29,378,0.29,0.385,0.417,0.128,0.363,62.9,131.9,50.8,0.36,12.2,0.568,21.4,40.5,中信兄弟
陳子豪,1,344,0.276,0.355,0.515,0.239,0.307,62.5,149.8,55.0,0.372,10.8,0.507,21.2,41.5,中信兄弟
詹子賢,39,288,0.258,0.34,0.333,0.075,0.328,67.7,95.0,28.1,0.309,10.1,0.492,20.5,36.9,中信兄弟
曾頌恩,32,424,0.304,0.343,0.441,0.138,0.333,77.3,125.8,59.5,0.342,5.7,0.4,14.2,31.6,中信兄弟
岳東華,98,442,0.211,0.326,0.317,0.107,0.246,63.8,86.4,37.2,0.298,14.3,0.768,18.6,33.3,中信兄弟
高宇杰,65,330,0.252,0.316,0.33,0.078,0.297,73.3,86.9,30.5,0.292,7.9,0.473,16.7,39.6,中信兄弟
江坤宇,90,374,0.278,0.345,0.349,0.071,0.297,81.1,101.0,38.1,0.314,7.5,0.903,8.3,23.1,中信兄弟
王政順,61,158,0.266,0.321,0.343,0.077,0.374,63.5,92.0,15.4,0.299,6.3,0.227,27.8,51.8,中信兄弟
許基宏,74,387,0.301,0.368,0.446,0.145,0.347,67.9,134.7,53.9,0.353,7.8,0.411,18.9,34.1,中信兄弟
張志豪,7,201,0.211,0.308,0.429,0.217,0.269,51.7,111.8,23.0,0.321,11.9,0.381,31.3,55.3,中信兄弟
宋晟睿,88,141,0.341,0.396,0.444,0.103,0.43,66.9,142.7,21.3,0.374,5.7,0.258,22.0,41.3,中信兄弟
曾子祐,1,522,0.268,0.342,0.334,0.066,0.294,78.2,95.9,51.6,0.309,9.2,0.889,10.3,23.8,台鋼雄鷹
陳文杰,3,463,0.265,0.332,0.376,0.111,0.307,74.8,104.5,49.4,0.317,7.8,0.537,14.5,30.6,台鋼雄鷹
王柏融,9,478,0.28,0.383,0.397,0.117,0.339,66.1,125.7,60.0,0.352,12.6,0.698,18.0,37.4,台鋼雄鷹
魔鷹,94,493,0.294,0.367,0.567,0.273,0.314,62.7,167.8,90.3,0.388,8.5,0.42,20.3,40.0,台鋼雄鷹
藍寅倫,88,235,0.269,0.303,0.352,0.083,0.318,73.9,89.1,22.6,0.29,3.8,0.2,19.1,39.5,台鋼雄鷹
杜家明,71,348,0.264,0.35,0.331,0.068,0.299,74.7,97.5,32.5,0.315,8.6,0.698,12.4,23.9,台鋼雄鷹
葉保弟,73,112,0.179,0.223,0.208,0.028,0.268,63.4,25.0,4.9,0.201,5.4,0.171,31.3,50.7,台鋼雄鷹
張肇元,29,334,0.258,0.342,0.339,0.081,0.319,68.8,97.3,33.2,0.313,9.9,0.524,18.9,36.8,台鋼雄鷹
郭永維,7,146,0.246,0.281,0.262,0.016,0.295,77.8,57.5,9.1,0.25,3.4,0.217,15.8,34.8,台鋼雄鷹
黃劼希,42,101,0.28,0.316,0.355,0.075,0.368,69.4,93.8,10.4,0.3,5.0,0.208,23.8,45.3,台鋼雄鷹
吳明鴻,31,154,0.239,0.283,0.317,0.077,0.333,65.1,73.3,11.7,0.27,2.6,0.093,27.9,51.8,台鋼雄鷹
王博玄,6,409,0.283,0.332,0.355,0.072,0.344,75.5,98.7,42.9,0.309,5.4,0.314,17.1,36.6,台鋼雄鷹
紀慶然,24,107,0.206,0.274,0.227,0.021,0.267,70.8,45.7,6.0,0.238,8.4,0.409,20.6,38.6,台鋼雄鷹
林家鋐,16,129,0.24,0.27,0.289,0.05,0.315,73.0,61.7,9.2,0.252,3.1,0.138,22.5,40.3,台鋼雄鷹
吳念庭,67,139,0.24,0.295,0.31,0.07,0.279,74.8,75.0,11.6,0.272,5.8,0.348,16.5,29.1,台鋼雄鷹
郭阜林,59,115,0.228,0.313,0.327,0.099,0.289,66.1,85.2,9.2,0.293,6.1,0.28,21.7,45.5,台鋼雄鷹
張祐銘,34,222,0.258,0.333,0.305,0.047,0.301,75.5,85.2,18.3,0.296,7.2,0.533,13.5,27.0,味全龍
吉力吉撈．鞏冠,4,508,0.279,0.344,0.477,0.198,0.302,67.7,136.0,73.5,0.352,7.3,0.398,18.3,41.2,味全龍
李凱威,21,495,0.319,0.398,0.371,0.052,0.358,76.4,123.1,62.2,0.353,10.9,1.0,10.9,26.3,味全龍
劉基鴻,46,474,0.244,0.3,0.364,0.12,0.288,71.1,91.5,46.8,0.293,6.5,0.337,19.4,40.9,味全龍
郭嚴文,6,277,0.29,0.315,0.412,0.122,0.317,82.2,109.3,33.6,0.317,2.9,0.235,12.3,27.2,味全龍
郭天信,2,430,0.275,0.315,0.356,0.081,0.294,86.3,93.8,43.9,0.298,4.9,0.656,7.4,19.8,味全龍
蔣少宏,63,251,0.247,0.306,0.348,0.101,0.279,76.6,88.9,23.4,0.292,6.0,0.429,13.9,29.8,味全龍
陳品捷,93,150,0.208,0.306,0.24,0.032,0.257,70.1,59.0,9.2,0.262,12.0,0.72,16.7,35.2,味全龍
張政禹,25,244,0.256,0.298,0.363,0.107,0.303,74.5,90.6,23.5,0.288,5.3,0.302,17.6,32.1,味全龍
劉俊緯,23,170,0.21,0.257,0.274,0.064,0.278,68.9,53.6,10.7,0.239,4.1,0.171,24.1,44.6,味全龍
拿莫．伊漾,57,195,0.202,0.263,0.32,0.118,0.282,56.7,68.1,14.6,0.261,6.7,0.203,32.8,59.3,味全龍
林孝程,1,206,0.249,0.305,0.309,0.061,0.313,72.0,77.8,16.5,0.279,5.8,0.3,19.4,33.6,味全龍
張祐嘉,81,179,0.228,0.284,0.34,0.111,0.276,69.9,80.0,15.0,0.278,5.6,0.27,20.7,39.4,味全龍
王順和,24,101,0.283,0.297,0.333,0.051,0.373,74.3,82.0,9.8,0.28,2.0,0.083,23.8,47.1,味全龍
陳晨威,98,528,0.295,0.338,0.446,0.151,0.321,79.5,125.6,73.5,0.34,6.3,0.516,12.1,26.2,樂天桃園
林立,39,372,0.353,0.404,0.448,0.095,0.41,74.9,146.2,60.8,0.379,7.5,0.491,15.3,31.7,樂天桃園
梁家榮,5,411,0.266,0.32,0.34,0.073,0.305,76.6,90.9,39.6,0.296,6.3,0.433,14.6,34.1,樂天桃園
廖健富,58,289,0.296,0.361,0.423,0.127,0.33,75.7,126.2,39.4,0.347,8.3,0.632,13.1,30.4,樂天桃園
朱育賢,85,442,0.295,0.345,0.423,0.129,0.344,70.7,121.4,57.1,0.338,5.2,0.274,19.0,38.2,樂天桃園
林承飛,6,220,0.221,0.257,0.368,0.147,0.275,65.1,79.5,19.3,0.268,4.1,0.153,26.8,50.0,樂天桃園
嚴宏鈞,62,139,0.286,0.353,0.412,0.126,0.372,64.7,120.8,16.2,0.34,5.8,0.25,23.0,45.7,樂天桃園
林智平,79,166,0.331,0.398,0.446,0.115,0.41,70.5,143.8,26.2,0.375,9.6,0.516,18.7,38.3,樂天桃園
林泓育,11,374,0.307,0.37,0.442,0.134,0.338,74.5,134.2,52.6,0.357,6.1,0.451,13.6,28.6,樂天桃園
林政華,65,192,0.238,0.303,0.317,0.079,0.279,75.7,79.4,15.3,0.28,6.8,0.464,14.6,34.6,樂天桃園
張閔勛,28,166,0.219,0.27,0.305,0.086,0.24,79.1,66.1,11.9,0.259,4.8,0.381,12.7,31.3,樂天桃園
余德龍,36,138,0.27,0.326,0.311,0.041,0.324,75.6,84.7,12.6,0.291,8.0,0.5,15.9,31.9,樂天桃園
林子偉,15,189,0.193,0.269,0.319,0.127,0.22,68.3,69.6,14.2,0.264,9.0,0.459,19.6,41.6,樂天桃園
馬傑森,94,409,0.237,0.273,0.286,0.049,0.269,82.4,61.7,28.0,0.253,3.7,0.306,12.0,28.5,樂天桃園
馮健庭,45,151,0.277,0.32,0.326,0.05,0.358,72.7,87.0,14.7,0.293,6.0,0.281,21.2,40.5,樂天桃園
宋嘉翔,2,120,0.219,0.265,0.286,0.067,0.306,63.7,59.3,7.8,0.25,5.0,0.182,27.5,51.6,樂天桃園
林佳緯,20,303,0.254,0.321,0.347,0.093,0.319,67.5,93.1,29.9,0.3,8.9,0.409,21.8,40.2,統一7-ELEVEn獅
邱智呈,14,530,0.326,0.418,0.427,0.101,0.398,67.3,144.6,77.1,0.381,11.3,0.645,17.5,32.5,統一7-ELEVEn獅
陳傑憲,24,472,0.334,0.421,0.416,0.082,0.374,75.4,142.5,69.4,0.378,11.7,1.1,10.6,19.4,統一7-ELEVEn獅
林安可,77,477,0.257,0.352,0.461,0.203,0.289,61.6,134.0,66.3,0.352,11.9,0.57,21.0,40.2,統一7-ELEVEn獅
